epoch: 1, train_loss: 0.535468, train acc: 61.00833333333333, test loss: 0.234728, test acc: 85.86
epoch: 2, train_loss: 0.202771, train acc: 87.5, test loss: 0.161207, test acc: 89.94
epoch: 3, train_loss: 0.162515, train acc: 89.8, test loss: 0.146033, test acc: 90.7
epoch: 4, train_loss: 0.146471, train acc: 90.66666666666667, test loss: 0.133652, test acc: 91.64
epoch: 5, train_loss: 0.134756, train acc: 91.64166666666667, test loss: 0.128588, test acc: 92.04
epoch: 6, train_loss: 0.127055, train acc: 92.06666666666666, test loss: 0.123253, test acc: 92.16
epoch: 7, train_loss: 0.121960, train acc: 92.50833333333334, test loss: 0.122384, test acc: 92.17
epoch: 8, train_loss: 0.116937, train acc: 93.08333333333333, test loss: 0.118536, test acc: 92.47
epoch: 9, train_loss: 0.111455, train acc: 93.30833333333334, test loss: 0.115110, test acc: 92.82
epoch: 10, train_loss: 0.108195, train acc: 93.56666666666666, test loss: 0.115161, test acc: 92.74
epoch: 11, train_loss: 0.104806, train acc: 93.89166666666667, test loss: 0.112761, test acc: 92.98
epoch: 12, train_loss: 0.102330, train acc: 94.13333333333334, test loss: 0.109616, test acc: 93.19
epoch: 13, train_loss: 0.098843, train acc: 94.3, test loss: 0.109046, test acc: 93.04
epoch: 14, train_loss: 0.096728, train acc: 94.49166666666666, test loss: 0.106627, test acc: 93.3
epoch: 15, train_loss: 0.094940, train acc: 94.575, test loss: 0.108112, test acc: 93.15
epoch: 16, train_loss: 0.093236, train acc: 94.73333333333333, test loss: 0.106011, test acc: 93.31
epoch: 17, train_loss: 0.091473, train acc: 94.9, test loss: 0.103911, test acc: 93.38
epoch: 18, train_loss: 0.089211, train acc: 95.15, test loss: 0.103573, test acc: 93.51
epoch: 19, train_loss: 0.087434, train acc: 95.11666666666666, test loss: 0.102689, test acc: 93.37
epoch: 20, train_loss: 0.086031, train acc: 95.26666666666667, test loss: 0.101106, test acc: 93.61
epoch: 21, train_loss: 0.084485, train acc: 95.40833333333333, test loss: 0.101169, test acc: 93.67
epoch: 22, train_loss: 0.084042, train acc: 95.55, test loss: 0.098671, test acc: 93.85
epoch: 23, train_loss: 0.082450, train acc: 95.68333333333334, test loss: 0.103593, test acc: 93.46
epoch: 24, train_loss: 0.081836, train acc: 95.675, test loss: 0.100873, test acc: 93.55
epoch: 25, train_loss: 0.080526, train acc: 95.79166666666667, test loss: 0.096156, test acc: 93.85
epoch: 26, train_loss: 0.079079, train acc: 96.00833333333334, test loss: 0.096765, test acc: 93.8
epoch: 27, train_loss: 0.078449, train acc: 95.9, test loss: 0.095513, test acc: 94.0
epoch: 28, train_loss: 0.077057, train acc: 96.11666666666666, test loss: 0.096968, test acc: 93.87
epoch: 29, train_loss: 0.076309, train acc: 96.275, test loss: 0.096649, test acc: 93.97
epoch: 30, train_loss: 0.075119, train acc: 96.25, test loss: 0.096263, test acc: 93.99
epoch: 31, train_loss: 0.075252, train acc: 96.19166666666666, test loss: 0.095260, test acc: 93.92
epoch: 32, train_loss: 0.074167, train acc: 96.33333333333333, test loss: 0.092933, test acc: 94.11
epoch: 33, train_loss: 0.073186, train acc: 96.375, test loss: 0.094041, test acc: 94.11
epoch: 34, train_loss: 0.072056, train acc: 96.49166666666666, test loss: 0.093935, test acc: 94.2
epoch: 35, train_loss: 0.071678, train acc: 96.53333333333333, test loss: 0.092938, test acc: 94.22
epoch: 36, train_loss: 0.071189, train acc: 96.59166666666667, test loss: 0.092167, test acc: 94.26
epoch: 37, train_loss: 0.070754, train acc: 96.58333333333333, test loss: 0.093597, test acc: 93.99
epoch: 38, train_loss: 0.069962, train acc: 96.66666666666667, test loss: 0.091854, test acc: 94.15
epoch: 39, train_loss: 0.069580, train acc: 96.65833333333333, test loss: 0.090963, test acc: 94.23
epoch: 40, train_loss: 0.069092, train acc: 96.75833333333334, test loss: 0.091144, test acc: 94.35
epoch: 41, train_loss: 0.068741, train acc: 96.775, test loss: 0.091259, test acc: 94.38
epoch: 42, train_loss: 0.067811, train acc: 96.76666666666667, test loss: 0.089217, test acc: 94.29
epoch: 43, train_loss: 0.066930, train acc: 96.925, test loss: 0.089544, test acc: 94.41
epoch: 44, train_loss: 0.067227, train acc: 96.75833333333334, test loss: 0.091691, test acc: 94.14
epoch: 45, train_loss: 0.066790, train acc: 96.91666666666667, test loss: 0.089392, test acc: 94.45
epoch: 46, train_loss: 0.066143, train acc: 96.875, test loss: 0.088878, test acc: 94.36
epoch: 47, train_loss: 0.065534, train acc: 96.95833333333333, test loss: 0.090529, test acc: 94.31
epoch: 48, train_loss: 0.065489, train acc: 96.95833333333333, test loss: 0.087653, test acc: 94.58
epoch: 49, train_loss: 0.065256, train acc: 97.01666666666667, test loss: 0.088514, test acc: 94.44
epoch: 50, train_loss: 0.064812, train acc: 97.1, test loss: 0.088574, test acc: 94.38
epoch: 51, train_loss: 0.065039, train acc: 97.025, test loss: 0.087139, test acc: 94.63
epoch: 52, train_loss: 0.064143, train acc: 97.06666666666666, test loss: 0.088560, test acc: 94.46
epoch: 53, train_loss: 0.063861, train acc: 97.10833333333333, test loss: 0.086933, test acc: 94.53
epoch: 54, train_loss: 0.063476, train acc: 97.16666666666667, test loss: 0.087170, test acc: 94.53
epoch: 55, train_loss: 0.062983, train acc: 97.16666666666667, test loss: 0.086133, test acc: 94.53
epoch: 56, train_loss: 0.062869, train acc: 97.225, test loss: 0.087132, test acc: 94.39
epoch: 57, train_loss: 0.062785, train acc: 97.15, test loss: 0.086892, test acc: 94.49
epoch: 58, train_loss: 0.063411, train acc: 97.15833333333333, test loss: 0.087166, test acc: 94.52
epoch: 59, train_loss: 0.062002, train acc: 97.275, test loss: 0.088155, test acc: 94.42
epoch: 60, train_loss: 0.062644, train acc: 97.20833333333333, test loss: 0.091585, test acc: 94.26
epoch: 61, train_loss: 0.062714, train acc: 97.275, test loss: 0.085595, test acc: 94.59
epoch: 62, train_loss: 0.062051, train acc: 97.3, test loss: 0.085660, test acc: 94.7
epoch: 63, train_loss: 0.061879, train acc: 97.2, test loss: 0.087630, test acc: 94.55
epoch: 64, train_loss: 0.060590, train acc: 97.425, test loss: 0.084898, test acc: 94.74
epoch: 65, train_loss: 0.060754, train acc: 97.38333333333334, test loss: 0.085775, test acc: 94.64
epoch: 66, train_loss: 0.060533, train acc: 97.35833333333333, test loss: 0.086046, test acc: 94.58
epoch: 67, train_loss: 0.060892, train acc: 97.34166666666667, test loss: 0.087162, test acc: 94.57
epoch: 68, train_loss: 0.060570, train acc: 97.33333333333333, test loss: 0.085728, test acc: 94.63
epoch: 69, train_loss: 0.060201, train acc: 97.43333333333334, test loss: 0.085174, test acc: 94.7
epoch: 70, train_loss: 0.060219, train acc: 97.46666666666667, test loss: 0.086032, test acc: 94.69
epoch: 71, train_loss: 0.060438, train acc: 97.35, test loss: 0.087943, test acc: 94.53
epoch: 72, train_loss: 0.059913, train acc: 97.40833333333333, test loss: 0.085786, test acc: 94.69
epoch: 73, train_loss: 0.059907, train acc: 97.44166666666666, test loss: 0.085096, test acc: 94.6
epoch: 74, train_loss: 0.059364, train acc: 97.425, test loss: 0.085225, test acc: 94.72
epoch: 75, train_loss: 0.059089, train acc: 97.55833333333334, test loss: 0.083894, test acc: 94.76
epoch: 76, train_loss: 0.058845, train acc: 97.45, test loss: 0.083507, test acc: 94.85
epoch: 77, train_loss: 0.058997, train acc: 97.53333333333333, test loss: 0.084612, test acc: 94.79
epoch: 78, train_loss: 0.058929, train acc: 97.425, test loss: 0.085339, test acc: 94.63
epoch: 79, train_loss: 0.058441, train acc: 97.6, test loss: 0.083489, test acc: 94.88
epoch: 80, train_loss: 0.058977, train acc: 97.53333333333333, test loss: 0.085585, test acc: 94.68
epoch: 81, train_loss: 0.058442, train acc: 97.49166666666666, test loss: 0.084301, test acc: 94.72
epoch: 82, train_loss: 0.058131, train acc: 97.59166666666667, test loss: 0.083295, test acc: 94.83
epoch: 83, train_loss: 0.058504, train acc: 97.45833333333333, test loss: 0.084257, test acc: 94.71
epoch: 84, train_loss: 0.058375, train acc: 97.55, test loss: 0.084225, test acc: 94.77
epoch: 85, train_loss: 0.058215, train acc: 97.58333333333333, test loss: 0.083322, test acc: 94.81
epoch: 86, train_loss: 0.057555, train acc: 97.65833333333333, test loss: 0.083467, test acc: 94.69
epoch: 87, train_loss: 0.057688, train acc: 97.55, test loss: 0.083994, test acc: 94.79
epoch: 88, train_loss: 0.057565, train acc: 97.61666666666666, test loss: 0.084381, test acc: 94.62
epoch: 89, train_loss: 0.057549, train acc: 97.6, test loss: 0.083728, test acc: 94.7
epoch: 90, train_loss: 0.057908, train acc: 97.65, test loss: 0.082676, test acc: 94.81
epoch: 91, train_loss: 0.057801, train acc: 97.65, test loss: 0.082024, test acc: 94.87
epoch: 92, train_loss: 0.056948, train acc: 97.64166666666667, test loss: 0.085201, test acc: 94.79
